Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
South Africa,3180785,90148,2913297.0,177340.0,52670,1493,20283906.0,335878.0,60390768
South Sudan,12873,133,12576.0,164.0,1131,12,274916.0,24150.0,11383650
Spain,5339992,88484,4954319.0,297189.0,114149,1891,66213858.0,1415400.0,46781008
Sri Lanka,573649,14641,545433.0,13575.0,26628,680,5726599.0,265819.0,21543262
St. Vincent Grenadines,5723,77,5111.0,535.0,51350,691,91583.0,821741.0,111450
Sudan,44877,3244,36009.0,5624.0,990,72,238579.0,5263.0,45329062
Suriname,51244,1178,29586.0,20480.0,86234,1982,163965.0,275923.0,594241
Sweden,1238689,15168,1169319.0,54202.0,121554,1488,13934770.0,1367435.0,10190443
Switzerland,1137969,11862,902221.0,223886.0,130109,1356,13237332.0,1513486.0,8746253
Syria,49350,2818,30573.0,15959.0,2724,156,113162.0,6247.0,18115074
Taiwan,16752,848,15696.0,208.0,702,36,8743598.0,366159.0,23879207
Tajikistan,17095,124,16966.0,5.0,1736,13,,,9847311
Tanzania,26309,734,,,423,12,,,62192027
Thailand,2174906,21229,2106144.0,47533.0,31046,303,14913135.0,212882.0,70053632
Timor-Leste,19830,122,19704.0,4.0,14637,90,211166.0,155870.0,1354759
Togo,26416,243,25947.0,226.0,3086,28,593122.0,69297.0,8559170
Trinidad and Tobago,81071,2429,64488.0,14154.0,57659,1728,473172.0,336525.0,1406051
Tunisia,719662,25437,692934.0,1291.0,59984,2120,3233474.0,269510.0,11997610
Turkey,9058975,79322,8637984.0,341669.0,105764,926,112259860.0,1310642.0,85652564
Turks and Caicos,3137,25,3066.0,46.0,79468,633,94789.0,2401241.0,39475
UAE,743004,2151,738049.0,2804.0,73833,214,105261952.0,10459949.0,10063333
Uganda,128120,3269,97821.0,27030.0,2679,68,2030496.0,42455.0,47827006
UK,10932545,146627,9574546.0,1211372.0,159827,2144,379450849.0,5547335.0,68402369
Ukraine,3570448,91602,3233009.0,245837.0,82357,2113,16333417.0,376753.0,43353095
Uruguay,402719,6145,394321.0,2253.0,115354,1760,4219579.0,1208645.0,3491164
USA,51018282,819315,40154700.0,10044267.0,152835,2454,778061047.0,2330829.0,333813037
Uzbekistan,196094,1442,192841.0,1811.0,5739,42,1377915.0,40324.0,34170989
Venezuela,439089,5245,427108.0,6736.0,15505,185,3359014.0,118613.0,28319224
Vietnam,1443648,28333,1060436.0,354879.0,14641,287,71472525.0,724827.0,98606368
Yemen,10075,1972,6949.0,1154.0,327,64,265253.0,8619.0,30775575
Zambia,211705,3671,206716.0,1318.0,11068,192,2788137.0,145764.0,19127733
Zimbabwe,172012,4740,129951.0,37321.0,11335,312,1715868.0,113065.0,15175956
