areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByPublishDate,newDeaths28DaysByPublishDate
K02000001,United Kingdom,overview,25/04/2020,,815
K02000001,United Kingdom,overview,24/04/2020,,1010
K02000001,United Kingdom,overview,23/04/2020,,682
K02000001,United Kingdom,overview,22/04/2020,,847
K02000001,United Kingdom,overview,21/04/2020,,1224
K02000001,United Kingdom,overview,20/04/2020,,570
K02000001,United Kingdom,overview,19/04/2020,,432
K02000001,United Kingdom,overview,18/04/2020,,1105
K02000001,United Kingdom,overview,17/04/2020,,913
K02000001,United Kingdom,overview,16/04/2020,,1036
K02000001,United Kingdom,overview,15/04/2020,,880
K02000001,United Kingdom,overview,14/04/2020,,1076
K02000001,United Kingdom,overview,13/04/2020,,724
K02000001,United Kingdom,overview,12/04/2020,,657
K02000001,United Kingdom,overview,11/04/2020,,843
K02000001,United Kingdom,overview,10/04/2020,,1122
K02000001,United Kingdom,overview,09/04/2020,,1116
K02000001,United Kingdom,overview,08/04/2020,,1030
K02000001,United Kingdom,overview,07/04/2020,,1105
K02000001,United Kingdom,overview,06/04/2020,,567
K02000001,United Kingdom,overview,05/04/2020,,599
K02000001,United Kingdom,overview,04/04/2020,,756
K02000001,United Kingdom,overview,03/04/2020,,736
K02000001,United Kingdom,overview,02/04/2020,,657
K02000001,United Kingdom,overview,01/04/2020,,672
K02000001,United Kingdom,overview,31/03/2020,,403
K02000001,United Kingdom,overview,30/03/2020,,374
K02000001,United Kingdom,overview,29/03/2020,,212
K02000001,United Kingdom,overview,28/03/2020,,292
K02000001,United Kingdom,overview,27/03/2020,,288
K02000001,United Kingdom,overview,26/03/2020,,181
K02000001,United Kingdom,overview,25/03/2020,,191
K02000001,United Kingdom,overview,24/03/2020,,148
K02000001,United Kingdom,overview,23/03/2020,,76
K02000001,United Kingdom,overview,22/03/2020,,36
K02000001,United Kingdom,overview,21/03/2020,,58
K02000001,United Kingdom,overview,20/03/2020,,32
K02000001,United Kingdom,overview,19/03/2020,,45
K02000001,United Kingdom,overview,18/03/2020,,34
K02000001,United Kingdom,overview,17/03/2020,,16
K02000001,United Kingdom,overview,16/03/2020,,22
K02000001,United Kingdom,overview,15/03/2020,,14
K02000001,United Kingdom,overview,14/03/2020,,18
K02000001,United Kingdom,overview,13/03/2020,,1
K02000001,United Kingdom,overview,12/03/2020,,2
K02000001,United Kingdom,overview,11/03/2020,,0
K02000001,United Kingdom,overview,10/03/2020,,4
K02000001,United Kingdom,overview,09/03/2020,,1
K02000001,United Kingdom,overview,08/03/2020,,0
K02000001,United Kingdom,overview,07/03/2020,,1
K02000001,United Kingdom,overview,06/03/2020,,1
